Time,Infected Homosexual Males,Infected Bisexual Males,Infected Heterosexual Females,Infected Heterosexual Males
0.0,0.05,0.0,0.0,0.0
0.001,0.05247251178571429,0.0012500119047619048,2.3809523809523814e-07,2.3809523809523814e-07
0.002,0.055096914225604074,0.002567695831445801,0.00012550117827318314,4.999880946145125e-07
0.003,0.057882145200381166,0.003957753910095621,0.00038255225779599254,1.3288176096683792e-05
0.004,0.06083766512407743,0.00542516048429162,0.0007798739139984738,5.1780827590513164e-05
0.005,0.06397348478358128,0.006975183984414287,0.0013277628735485821,0.00013000368468127192
0.006,0.0673001944988896,0.008613409918534341,0.002038443910386819,0.00026301139416639284
0.007,0.07082899462398588,0.010345765094311546,0.0029262041157590594,0.0004670801931132692
0.008,0.07457172740343754,0.012178543188458945,0.004007548781974312,0.0007599139780335355
0.009000000000000001,0.07854091019386746,0.014118431783968781,0.0053013803553825165,0.0011608659085685044
0.01,0.08274977005225516,0.016172540999362557,0.006829202136865606,0.0016911778390937332
0.011,0.08721227968440672,0.018348433838677746,0.008615348644635618,0.002374240035704508
0.012,0.09194319473672734,0.020654158395690222,0.010687244806306695,0.0032358738228457536
0.013000000000000001,0.09695809240244721,0.023098282050940375,0.013075696417089501,0.004304640014743208
0.014,0.10227341129948188,0.02568992780542043,0.015815214590652618,0.005612176223274356
0.015,0.10790649256092848,0.028438812900217783,0.018944377240883034,0.007193566397632933
0.016,0.11387562206056268,0.0313552898769096,0.02250623096870309,0.009087746243876368
0.017,0.12020007367434508,0.0344503902389669,0.026548737090573073,0.011337948496119138
0.018000000000000002,0.1269001534545867,0.037735870879733534,0.03112526593668707,0.013992192367780848
0.019,0.13399724456576043,0.041224263447556475,0.03629514396954703,0.017103821903046032
0.02,0.14151385279966164,0.04492892682319273,0.04212425872997462,0.02073209837774189
0.021,0.14947365245238214,0.04886410288850925,0.048685727110059786,0.024942852367420342
0.022,0.1579015323060263,0.05304497576849345,0.056060632983334524,0.029809201610754593
